127.0.0.1 - - [17/Aug/2014:18:07:55 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:07:56 +0900] "GET /mvc_sukje/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:07:57 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:10 +0900] "GET /mvc_sukje/BoardDetail.bo?id=42 HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:11 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:12 +0900] "GET /mvc_sukje/BoardDetail.bo?id=41 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:13 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:14 +0900] "GET /mvc_sukje/BoardDetail.bo?id=39 HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:16 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:17 +0900] "GET /mvc_sukje/BoardDetail.bo?id=37 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:18 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:23 +0900] "GET /mvc_sukje/BoardDetail.bo?id=42 HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:24 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:47 +0900] "GET /mvc_sukje/BoardDetail.bo?id=33 HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:08:47 +0900] "GET /mvc_sukje/image/yunmi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:09:54 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:09:55 +0900] "GET /mvc_sukje/BoardDetail.bo?id=39 HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:09:57 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:09:58 +0900] "GET /mvc_sukje/BoardDetail.bo?id=39 HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:09:59 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21596
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:10:00 +0900] "GET /mvc_sukje/BoardDetail.bo?id=37 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [17/Aug/2014:18:10:19 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21596
115.28.139.115 - - [17/Aug/2014:18:31:05 +0900] "GET /render/hoteldiv.jsp?&__jscallback=XQScript_4 HTTP/1.1" 404 989
