0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:34 +0900] "GET /mvc_suap/BoardDetail.bo?id=33 HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:45 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:47 +0900] "GET /mvc_sukje/BoardDetail.bo?id=33 HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:56 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:56 +0900] "GET /mvc_sukje/BoardDetail.bo?id=40 HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:58 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:10:59 +0900] "GET /mvc_sukje/BoardDetail.bo?id=39 HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:01 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:13 +0900] "GET /mvc_sukje/BoardDetail.bo?id=42 HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:14 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:15 +0900] "GET /mvc_sukje/BoardDetail.bo?id=39 HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:16 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:39 +0900] "GET /mvc_sukje/BoardDetail.bo?id=37 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:41 +0900] "GET /mvc_sukje/BoardList.bo HTTP/1.1" 200 21595
0:0:0:0:0:0:0:1 - - [16/Aug/2014:19:11:42 +0900] "GET /mvc_sukje/BoardDetail.bo?id=36 HTTP/1.1" 200 3130
